hh_id,exp_LCU_Electricity,exp_LCU_Petrol,exp_LCU_Firewood,exp_LCU_Gas,exp_LCU_Biomass,exp_LCU_Diesel,exp_LCU_Coal,hh_expenditures_LCU
18737,3598.2914230028,NA,NA,NA,NA,NA,NA,58011.44444214849
18738,2998.57618583567,5470.29062443237,NA,NA,NA,NA,NA,64594.744456867134
18739,3598.2914230028,6736.561602310228,NA,NA,NA,NA,NA,135770.25516182143
18740,3598.2914230028,11599.042157361177,NA,NA,NA,NA,NA,164235.974122891
18741,12005.1974498266,15159.687023506112,NA,NA,NA,NA,NA,189089.46736299133
18742,18007.7961747398,19373.4019469727,NA,NA,NA,NA,NA,346009.6440966235
18743,9604.15795986125,20342.0720443213,NA,NA,NA,NA,NA,268574.3368303541
18744,12005.1974498266,8330.56283719825,NA,NA,NA,NA,NA,161285.7786645532
18745,10564.5737558474,14530.0514602295,NA,NA,NA,NA,NA,228381.2800233912
18746,5961.51051392303,NA,NA,NA,NA,NA,NA,30864.983141845
18747,5961.51051392303,NA,NA,NA,NA,NA,NA,62689.414275102565
18748,5961.51051392303,NA,NA,NA,NA,NA,NA,73623.53013413347
18749,5519.54677103233,9347.66643941432,NA,NA,NA,NA,NA,105936.03395898902
18750,5961.51051392303,NA,NA,NA,NA,NA,NA,54388.24896092975
18751,5519.54677103233,NA,NA,NA,NA,NA,NA,47177.16786274156
18752,7803.37834238727,58120.2058409181,NA,NA,NA,NA,NA,453396.727285573
18753,3819.83555221754,6780.69068144044,NA,NA,NA,NA,NA,74885.37569561241
18754,12005.1974498266,8718.03087613771,NA,NA,NA,NA,NA,94586.96161934329
18755,1197.56863899707,NA,NA,NA,NA,NA,NA,42711.043084882556
18756,1197.56863899707,NA,NA,NA,NA,NA,NA,22946.135211233206
18757,1197.56863899707,NA,NA,NA,NA,NA,NA,14562.35558768008
18758,2993.92159749268,NA,NA,NA,NA,NA,NA,33140.117988269136
18759,1197.56863899707,NA,NA,NA,NA,NA,NA,59276.198524162595
18760,1197.56863899707,NA,NA,NA,NA,NA,NA,29460.687592236176
18761,1197.56863899707,2871.84685932751,NA,NA,NA,NA,NA,271582.2597808996
18762,2395.13727799415,6892.43246238602,NA,1317.32550289678,NA,NA,NA,341450.34960019705
18763,14370.8236679649,22974.7748746201,NA,NA,NA,NA,NA,384527.4649382218
18764,5987.84319498536,957.282286442502,NA,NA,NA,NA,NA,133654.378684893
18765,18670.0950819644,4786.41143221251,NA,NA,NA,NA,NA,197481.6298809363
18766,11975.6863899707,9381.36640713652,NA,NA,NA,NA,NA,224007.54323050904
18767,17963.5295849561,2871.84685932751,NA,NA,NA,NA,NA,67046.6138645396
18768,18670.0950819644,3446.21623119301,NA,NA,NA,NA,NA,264673.52724700695
18769,5961.51051392303,NA,NA,NA,NA,NA,NA,39359.361369071776
18770,5961.51051392303,NA,NA,NA,NA,NA,NA,62038.983846442075
18771,5961.51051392303,20923.2741027305,NA,NA,NA,NA,NA,167771.5106622283
18772,6002.59872491328,NA,NA,NA,NA,NA,NA,52765.59247225302
18773,5400,NA,NA,NA,NA,NA,NA,40561.35276568611
18774,4802.07897993062,23248.0823363672,NA,NA,NA,NA,NA,149947.69251873682
18775,6002.59872491328,NA,NA,NA,NA,NA,NA,79962.68546574048
18776,7680,NA,NA,NA,NA,NA,NA,88576.3608226464
18777,4802.07897993062,12786.445285002,NA,NA,NA,NA,NA,61628.13651348376
18778,4802.07897993062,13948.8494018203,NA,NA,NA,NA,NA,57098.32260631006
18779,7200,NA,NA,NA,NA,NA,NA,59161.35056205547
18780,3113.34787198836,NA,NA,NA,NA,NA,NA,45659.66441286296
18781,3113.34787198836,NA,NA,NA,NA,NA,NA,49818.99775328411
18782,1200,NA,NA,NA,NA,NA,NA,14691.510671736514
18783,6000,NA,NA,NA,NA,NA,NA,25134.656544193815
18784,6197.77842025533,NA,NA,NA,NA,NA,NA,15250.529856608813
18785,912,NA,NA,NA,NA,NA,NA,11928.964744622743
18786,6000,37334.00917125761,NA,NA,NA,NA,NA,601739.1491609372
18787,1197.56863899707,NA,NA,NA,NA,NA,NA,85704.32535164413
18788,3592.70591699122,NA,NA,NA,NA,NA,NA,54220.053868098374
18789,4799.68160565708,9665.55782285568,NA,NA,NA,NA,NA,63068.957697658974
18790,8399.4428098999,36245.8418357088,NA,NA,NA,NA,NA,103302.24989785602
